Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
Montrose Beach,05/28/2014 05:00:00 PM,14.1,5.06,1.382,0.34,4,11.9,5/28/2014 5:00 PM,MontroseBeach201405281700
Montrose Beach,05/28/2014 06:00:00 PM,14.2,5.76,1.415,0.356,3,11.9,5/28/2014 6:00 PM,MontroseBeach201405281800
Calumet Beach,05/28/2014 06:00:00 PM,17.1,1.8,1.501,0.188,4,11.7,5/28/2014 6:00 PM,CalumetBeach201405281800
Calumet Beach,05/28/2014 07:00:00 PM,17,1.82,1.487,0.194,4,11.7,5/28/2014 7:00 PM,CalumetBeach201405281900
Montrose Beach,05/28/2014 07:00:00 PM,14.2,6.32,1.386,0.346,3,11.9,5/28/2014 7:00 PM,MontroseBeach201405281900
Montrose Beach,05/28/2014 08:00:00 PM,14.4,6.89,1.401,0.38,4,11.9,5/28/2014 8:00 PM,MontroseBeach201405282000
Calumet Beach,05/28/2014 08:00:00 PM,17,1.83,1.488,0.196,4,11.7,5/28/2014 8:00 PM,CalumetBeach201405282000
Montrose Beach,05/28/2014 09:00:00 PM,14.5,7.11,1.374,0.361,5,11.9,5/28/2014 9:00 PM,MontroseBeach201405282100
Calumet Beach,05/28/2014 09:00:00 PM,16.8,1.9,1.494,0.181,4,11.7,5/28/2014 9:00 PM,CalumetBeach201405282100
Montrose Beach,05/28/2014 10:00:00 PM,14.5,6.88,1.413,0.345,4,11.9,5/28/2014 10:00 PM,MontroseBeach201405282200
Calumet Beach,05/28/2014 10:00:00 PM,16.7,1.83,1.467,0.18,4,11.7,5/28/2014 10:00 PM,CalumetBeach201405282200
Montrose Beach,05/28/2014 11:00:00 PM,14.3,7.32,1.406,0.331,4,11.9,5/28/2014 11:00 PM,MontroseBeach201405282300
Calumet Beach,05/28/2014 11:00:00 PM,16.5,1.69,1.548,0.177,4,11.7,5/28/2014 11:00 PM,CalumetBeach201405282300
Calumet Beach,05/29/2014 01:00:00 AM,16.3,1.62,1.519,0.159,4,11.7,5/29/2014 1:00 AM,CalumetBeach201405290100
Montrose Beach,05/29/2014 01:00:00 AM,14.2,7.18,1.46,0.305,4,11.9,5/29/2014 1:00 AM,MontroseBeach201405290100
Montrose Beach,05/29/2014 02:00:00 AM,14.2,6.35,1.45,0.321,3,11.9,5/29/2014 2:00 AM,MontroseBeach201405290200
Calumet Beach,05/29/2014 02:00:00 AM,16.2,1.57,1.535,0.154,4,11.7,5/29/2014 2:00 AM,CalumetBeach201405290200
Calumet Beach,05/29/2014 03:00:00 AM,16.1,1.8,1.557,0.163,4,11.7,5/29/2014 3:00 AM,CalumetBeach201405290300
Montrose Beach,05/29/2014 03:00:00 AM,14.1,6.78,1.468,0.285,4,11.8,5/29/2014 3:00 AM,MontroseBeach201405290300
Calumet Beach,05/29/2014 04:00:00 AM,16.1,1.82,1.507,0.156,4,11.7,5/29/2014 4:00 AM,CalumetBeach201405290400
Montrose Beach,05/29/2014 04:00:00 AM,14.1,6.27,1.456,0.306,3,11.8,5/29/2014 4:00 AM,MontroseBeach201405290400
Montrose Beach,05/29/2014 05:00:00 AM,14,5.63,1.421,0.282,3,11.8,5/29/2014 5:00 AM,MontroseBeach201405290500
Calumet Beach,05/29/2014 05:00:00 AM,15.9,1.73,1.513,0.158,3,11.7,5/29/2014 5:00 AM,CalumetBeach201405290500
Calumet Beach,05/29/2014 06:00:00 AM,15.9,1.73,1.508,0.151,3,11.7,5/29/2014 6:00 AM,CalumetBeach201405290600
Montrose Beach,05/29/2014 06:00:00 AM,13.8,5.05,1.41,0.248,4,11.8,5/29/2014 6:00 AM,MontroseBeach201405290600
Montrose Beach,05/29/2014 07:00:00 AM,13.8,5.73,1.398,0.235,4,11.8,5/29/2014 7:00 AM,MontroseBeach201405290700
Calumet Beach,05/29/2014 07:00:00 AM,15.9,1.74,1.491,0.148,4,11.7,5/29/2014 7:00 AM,CalumetBeach201405290700
Montrose Beach,05/29/2014 08:00:00 AM,13.9,5.57,1.398,0.244,4,11.8,5/29/2014 8:00 AM,MontroseBeach201405290800
Calumet Beach,05/29/2014 08:00:00 AM,15.8,1.77,1.498,0.146,4,11.7,5/29/2014 8:00 AM,CalumetBeach201405290800
Calumet Beach,05/29/2014 09:00:00 AM,15.9,1.64,1.538,0.125,4,11.7,5/29/2014 9:00 AM,CalumetBeach201405290900
Montrose Beach,05/29/2014 09:00:00 AM,13.9,6.49,1.407,0.292,3,11.8,5/29/2014 9:00 AM,MontroseBeach201405290900
Montrose Beach,05/29/2014 10:00:00 AM,14.1,5.67,1.415,0.277,2,11.8,5/29/2014 10:00 AM,MontroseBeach201405291000
Calumet Beach,05/29/2014 10:00:00 AM,16,1.75,1.495,0.129,4,11.7,5/29/2014 10:00 AM,CalumetBeach201405291000
Calumet Beach,05/29/2014 11:00:00 AM,16.2,1.59,1.596,0.141,4,11.7,5/29/2014 11:00 AM,CalumetBeach201405291100
Montrose Beach,05/29/2014 11:00:00 AM,14.3,6.4,1.458,0.286,5,11.8,5/29/2014 11:00 AM,MontroseBeach201405291100
Calumet Beach,05/29/2014 12:00:00 PM,16.4,1.55,1.491,0.144,4,11.7,5/29/2014 12:00 PM,CalumetBeach201405291200
Montrose Beach,05/29/2014 12:00:00 PM,14.6,6.19,1.432,0.301,3,11.8,5/29/2014 12:00 PM,MontroseBeach201405291200
Montrose Beach,05/29/2014 01:00:00 PM,14.8,6.28,1.526,0.282,5,11.8,5/29/2014 1:00 PM,MontroseBeach201405291300
Calumet Beach,05/29/2014 01:00:00 PM,16.6,1.58,1.499,0.154,2,11.7,5/29/2014 1:00 PM,CalumetBeach201405291300
Calumet Beach,05/29/2014 02:00:00 PM,16.7,1.44,1.682,0.159,5,11.7,5/29/2014 2:00 PM,CalumetBeach201405291400
Montrose Beach,05/29/2014 02:00:00 PM,14.9,6.36,1.391,0.319,3,11.8,5/29/2014 2:00 PM,MontroseBeach201405291400
Montrose Beach,05/29/2014 03:00:00 PM,15.1,5.98,1.449,0.296,3,11.8,5/29/2014 3:00 PM,MontroseBeach201405291500
Calumet Beach,05/29/2014 03:00:00 PM,16.9,1.4,1.488,0.164,4,11.7,5/29/2014 3:00 PM,CalumetBeach201405291500
Calumet Beach,05/29/2014 04:00:00 PM,16.9,1.35,1.562,0.17,4,11.7,5/29/2014 4:00 PM,CalumetBeach201405291600
Montrose Beach,05/29/2014 04:00:00 PM,15.2,6.26,1.448,0.313,3,11.8,5/29/2014 4:00 PM,MontroseBeach201405291600
Montrose Beach,05/29/2014 05:00:00 PM,15.5,7.06,1.406,0.288,3,11.8,5/29/2014 5:00 PM,MontroseBeach201405291700
Calumet Beach,05/29/2014 05:00:00 PM,16.8,1.45,1.546,0.168,3,11.7,5/29/2014 5:00 PM,CalumetBeach201405291700
Calumet Beach,05/29/2014 06:00:00 PM,16.9,1.35,1.47,0.179,3,11.7,5/29/2014 6:00 PM,CalumetBeach201405291800
Montrose Beach,05/29/2014 06:00:00 PM,15.3,6.51,1.401,0.298,3,11.8,5/29/2014 6:00 PM,MontroseBeach201405291800
Montrose Beach,05/29/2014 07:00:00 PM,15.5,6.71,1.4,0.287,3,11.8,5/29/2014 7:00 PM,MontroseBeach201405291900
Calumet Beach,05/29/2014 07:00:00 PM,16.8,1.39,1.51,0.175,3,11.7,5/29/2014 7:00 PM,CalumetBeach201405291900
Montrose Beach,05/29/2014 08:00:00 PM,15.3,6.17,1.406,0.298,3,11.8,5/29/2014 8:00 PM,MontroseBeach201405292000
Calumet Beach,05/29/2014 08:00:00 PM,16.7,1.46,1.413,0.182,4,11.7,5/29/2014 8:00 PM,CalumetBeach201405292000
Montrose Beach,05/29/2014 09:00:00 PM,15.4,5.9,1.416,0.286,3,11.8,5/29/2014 9:00 PM,MontroseBeach201405292100
Calumet Beach,05/29/2014 09:00:00 PM,16.8,1.4,1.482,0.189,3,11.7,5/29/2014 9:00 PM,CalumetBeach201405292100
Montrose Beach,05/29/2014 10:00:00 PM,15.2,6.03,1.4,0.266,3,11.8,5/29/2014 10:00 PM,MontroseBeach201405292200
Calumet Beach,05/29/2014 10:00:00 PM,16.9,1.51,1.481,0.177,4,11.7,5/29/2014 10:00 PM,CalumetBeach201405292200
Calumet Beach,05/29/2014 11:00:00 PM,16.8,1.55,1.511,0.194,3,11.7,5/29/2014 11:00 PM,CalumetBeach201405292300
Montrose Beach,05/29/2014 11:00:00 PM,15.2,5.71,1.397,0.262,3,11.8,5/29/2014 11:00 PM,MontroseBeach201405292300
Calumet Beach,05/30/2014 12:00:00 AM,16.6,1.79,1.539,0.21,4,11.7,5/30/2014 12:00 AM,CalumetBeach201405302400
Montrose Beach,05/30/2014 12:00:00 AM,15.2,6.09,1.438,0.234,3,11.8,5/30/2014 12:00 AM,MontroseBeach201405302400
Calumet Beach,05/30/2014 01:00:00 AM,16.4,1.74,1.437,0.176,4,11.7,5/30/2014 1:00 AM,CalumetBeach201405300100
Montrose Beach,05/30/2014 01:00:00 AM,15,5.98,1.379,0.26,3,11.8,5/30/2014 1:00 AM,MontroseBeach201405300100
Montrose Beach,05/30/2014 02:00:00 AM,15,5.92,1.504,0.26,3,11.8,5/30/2014 2:00 AM,MontroseBeach201405300200
Calumet Beach,05/30/2014 02:00:00 AM,16.4,1.53,1.579,0.193,4,11.7,5/30/2014 2:00 AM,CalumetBeach201405300200
Calumet Beach,05/30/2014 03:00:00 AM,16.3,1.72,1.564,0.176,4,11.7,5/30/2014 3:00 AM,CalumetBeach201405300300
Montrose Beach,05/30/2014 03:00:00 AM,14.9,6.51,1.422,0.261,3,11.8,5/30/2014 3:00 AM,MontroseBeach201405300300
Montrose Beach,05/30/2014 04:00:00 AM,14.8,5.35,1.441,0.266,4,11.8,5/30/2014 4:00 AM,MontroseBeach201405300400
Calumet Beach,05/30/2014 04:00:00 AM,16.2,1.77,1.513,0.168,3,11.7,5/30/2014 4:00 AM,CalumetBeach201405300400
Calumet Beach,05/30/2014 05:00:00 AM,16.2,1.6,1.465,0.152,3,11.7,5/30/2014 5:00 AM,CalumetBeach201405300500
Montrose Beach,05/30/2014 05:00:00 AM,14.8,5.66,1.441,0.253,4,11.8,5/30/2014 5:00 AM,MontroseBeach201405300500
Montrose Beach,05/30/2014 06:00:00 AM,14.7,5.53,1.401,0.219,3,11.8,5/30/2014 6:00 AM,MontroseBeach201405300600
Calumet Beach,05/30/2014 06:00:00 AM,16.1,1.53,1.5,0.144,3,11.7,5/30/2014 6:00 AM,CalumetBeach201405300600
Calumet Beach,05/30/2014 07:00:00 AM,16.1,1.71,1.559,0.132,3,11.7,5/30/2014 7:00 AM,CalumetBeach201405300700
Montrose Beach,05/30/2014 07:00:00 AM,14.7,5.53,1.455,0.22,4,11.8,5/30/2014 7:00 AM,MontroseBeach201405300700
Calumet Beach,05/30/2014 08:00:00 AM,16.2,1.68,1.496,0.127,3,11.7,5/30/2014 8:00 AM,CalumetBeach201405300800
Montrose Beach,05/30/2014 08:00:00 AM,14.8,5.58,1.4,0.228,3,11.8,5/30/2014 8:00 AM,MontroseBeach201405300800
Montrose Beach,05/30/2014 09:00:00 AM,15,5.36,1.399,0.223,3,11.8,5/30/2014 9:00 AM,MontroseBeach201405300900
Calumet Beach,05/30/2014 09:00:00 AM,16.3,1.59,1.453,0.108,3,11.6,5/30/2014 9:00 AM,CalumetBeach201405300900
Montrose Beach,05/30/2014 10:00:00 AM,15.2,5.03,1.429,0.198,3,11.8,5/30/2014 10:00 AM,MontroseBeach201405301000
Calumet Beach,05/30/2014 10:00:00 AM,16.6,1.52,1.52,0.111,3,11.6,5/30/2014 10:00 AM,CalumetBeach201405301000
Calumet Beach,05/30/2014 11:00:00 AM,16.8,1.45,1.492,0.107,3,11.6,5/30/2014 11:00 AM,CalumetBeach201405301100
Montrose Beach,05/30/2014 11:00:00 AM,15.5,5.28,1.443,0.202,3,11.8,5/30/2014 11:00 AM,MontroseBeach201405301100
Montrose Beach,05/30/2014 12:00:00 PM,15.8,5.04,1.454,0.193,3,11.8,5/30/2014 12:00 PM,MontroseBeach201405301200
Calumet Beach,05/30/2014 12:00:00 PM,17.2,1.46,1.496,0.116,3,11.6,5/30/2014 12:00 PM,CalumetBeach201405301200
